Period Ending Time,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0:30,6241,6262,6236,6283,6232,6065,6262
1:00,6116,6143,6104,6147,6081,5930,6130
1:30,6011,6024,6005,6052,5942,5816,6035
2:00,5947,5952,5939,5979,5865,5724,5947
2:30,5879,5927,5880,5915,5803,5657,5883
3:00,5838,5868,5830,5866,5758,5587,5828
3:30,5808,5842,5791,5829,5715,5537,5785
4:00,5780,5814,5765,5812,5686,5505,5741
4:30,5777,5816,5762,5813,5677,5499,5733
5:00,5794,5831,5784,5827,5692,5502,5723
5:30,5869,5922,5864,5905,5760,5619,5752
6:00,6015,6055,6001,6044,5864,5810,5794
6:30,6255,6302,6236,6281,6159,6018,5873
7:00,6424,6464,6415,6446,6403,6119,5945
7:30,6660,6684,6643,6669,6643,6250,6038
8:00,6803,6831,6788,6815,6775,6300,6064
8:30,7054,7057,7006,7047,7026,6507,6190
9:00,7212,7183,7140,7169,7156,6621,6256
9:30,7281,7245,7203,7258,7239,6727,6335
10:00,7329,7298,7234,7300,7293,6757,6404
10:30,7399,7369,7325,7364,7362,6861,6512
11:00,7404,7410,7324,7426,7369,6917,6484
11:30,7456,7406,7327,7462,7326,6941,6527
12:00,7447,7373,7309,7409,7223,6912,6524
12:30,7408,7330,7242,7317,7137,6905,6625
13:00,7385,7317,7267,7315,7086,6846,6570
13:30,7431,7319,7335,7364,7137,6855,6549
14:00,7530,7360,7323,7406,7148,6887,6606
14:30,7504,7395,7372,7419,7180,6873,6608
15:00,7499,7440,7340,7370,7247,6908,6561
15:30,7661,7378,7331,7363,7190,6835,6533
16:00,7576,7417,7363,7436,7267,6912,6542
16:30,7516,7419,7344,7510,7294,6915,6564
17:00,7550,7427,7369,7518,7280,6832,6517
17:30,7562,7425,7368,7441,7253,6836,6510
18:00,7449,7389,7330,7402,7187,6837,6506
18:30,7335,7289,7260,7323,7105,6794,6574
19:00,7349,7312,7281,7321,7091,6816,6618
19:30,7329,7278,7276,7297,7051,6844,6699
20:00,7340,7283,7312,7326,7026,6893,6783
20:30,7274,7270,7296,7322,6973,6916,6843
21:00,7194,7228,7265,7281,6944,6917,6836
21:30,7119,7148,7186,7181,6861,6906,6819
22:00,7020,7022,7069,7044,6780,6823,6775
22:30,6838,6833,6887,6861,6624,6696,6619
23:00,6694,6679,6743,6712,6485,6606,6495
23:30,6539,6525,6581,6549,6338,6501,6376
0:00,6406,6390,6449,6412,6228,6391,6249
,,,,,,,
Note: ,,,,,,,
1. System Demand (Actual): includes demand of consumers with their own embedded generators.,,,,,,,
2. NEM Demand (Actual): Actual Demand met by all Generation Registered Facilities.,,,,,,,
3. NEM Demand (Forecast): Forecast demand for scheduling of Generation Registered Facilities. ,,,,,,,
4. All units in MW.,,,,,,,
